iter	MultiRMSE
190	10.66980377
191	10.65568185
192	10.63845969
193	10.62723683
194	10.61693461
195	10.59520883
196	10.58041579
197	10.56643417
198	10.55211263
199	10.53368003
200	10.51012738
201	10.49712105
202	10.48480618
203	10.46840039
204	10.45491462
205	10.43570508
206	10.42504278
207	10.4122666
208	10.40134319
209	10.39251983
210	10.37393733
211	10.35809662
212	10.34579347
213	10.33442465
214	10.32202772
215	10.30821098
216	10.29119362
217	10.27800519
218	10.25736678
219	10.24475599
220	10.22822698
221	10.2142218
222	10.20200836
223	10.18314573
224	10.17368227
225	10.15434341
226	10.14305631
227	10.13058112
228	10.11409432
229	10.10502262
230	10.09584919
231	10.08405093
232	10.07320385
233	10.05814973
234	10.04393254
235	10.02924356
236	10.01862217
237	10.00501699
238	9.986561897
239	9.975046406
240	9.962677216
241	9.951676221
242	9.932933398
243	9.920297071
244	9.911758037
245	9.897550819
246	9.886584941
247	9.867640841
248	9.852118676
249	9.836481132
250	9.824206946
251	9.813371148
252	9.802721916
253	9.791283895
254	9.781131502
255	9.768618385
256	9.758785797
257	9.750875198
258	9.736350468
259	9.728978659
260	9.716197542
261	9.704030621
262	9.690872024
263	9.678837817
264	9.669231318
265	9.661318782
266	9.648575791
267	9.63854915
268	9.628092476
269	9.612605217
270	9.603361426
271	9.5908682
272	9.579755874
273	9.564513405
274	9.552134741
275	9.541639455
276	9.531705977
277	9.518675068
278	9.505706504
279	9.496934019
280	9.483203588
281	9.477788256
282	9.467808645
283	9.453892645
284	9.439880865
285	9.43085907
286	9.418503014
287	9.40891564
288	9.398352804
289	9.384603867
290	9.377384403
291	9.365659247
292	9.351945636
293	9.339307366
294	9.329985314
295	9.321776041
296	9.315206057
297	9.308458888
298	9.301048412
299	9.288301738
300	9.27853618
301	9.270250247
302	9.262320893
303	9.251783222
304	9.246530409
305	9.235793318
306	9.227319288
307	9.220368092
308	9.215147055
309	9.206201167
310	9.192332779
311	9.186179964
312	9.175452799
313	9.169523013
314	9.160438761
315	9.150744521
316	9.142327375
317	9.134204689
318	9.124584623
319	9.118830071
320	9.11247014
321	9.103250473
322	9.094381447
323	9.086251518
324	9.074200078
325	9.066872527
326	9.060207898
327	9.053192152
328	9.041319217
329	9.033738192
330	9.023411421
331	9.01302951
332	9.00473126
333	8.995894835
334	8.984736534
335	8.978666986
336	8.971930326
337	8.963799034
338	8.956814456
339	8.946660863
340	8.938975024
341	8.93040418
342	8.92031529
343	8.913569188
344	8.908858512
345	8.903566218
346	8.891758973
347	8.884099185
348	8.877657294
349	8.872613222
350	8.865129293
351	8.856572029
352	8.849242037
353	8.844500051
354	8.835086059
355	8.825763581
356	8.81903226
357	8.810232654
358	8.799924943
359	8.790881216
360	8.781415446
361	8.77309247
362	8.764949236
363	8.756528569
364	8.752083578
365	8.744039926
366	8.738006302
367	8.733047631
368	8.721420582
369	8.715763609
370	8.708339412
371	8.703766954
372	8.694727281
373	8.689819761
374	8.681639304
375	8.669992791
376	8.661441056
377	8.655519657
378	8.649063816
379	8.644567548
380	8.63968731
381	8.633823783
382	8.624332234
383	8.619811739
384	8.610562289
385	8.599873826
386	8.593913308
387	8.589524111
388	8.580449713
389	8.575323615
390	8.563493807
391	8.559377708
392	8.55378498
393	8.546901443
394	8.540315283
395	8.533332222
396	8.528295522
397	8.524342865
398	8.518397794
399	8.512166764
400	8.505418228
401	8.499730677
402	8.490050431
403	8.485078979
404	8.479482219
405	8.473653882
406	8.465875875
407	8.458818048
408	8.454016587
409	8.447958776
410	8.4432131
411	8.436652949
412	8.43332547
413	8.430568666
414	8.42519905
415	8.420638547
416	8.413755286
417	8.40862141
418	8.40101887
419	8.395663339
420	8.392848438
421	8.386852382
422	8.383515252
423	8.374506247
424	8.368809493
425	8.359826548
426	8.354805958
427	8.349286977
428	8.343504172
429	8.336892647
430	8.331367855
431	8.326334608
432	8.318955397
433	8.315620584
434	8.307850877
435	8.300836578
436	8.295428104
437	8.287859607
438	8.282879641
439	8.277712307
440	8.273527396
441	8.264572674
442	8.261314438
443	8.252378193
444	8.24635306
445	8.238337634
446	8.233974652
447	8.226096198
448	8.219206232
449	8.213148351
450	8.209416093
451	8.200898789
452	8.194516946
453	8.189390974
454	8.186452078
455	8.179511132
456	8.172255005
457	8.164763513
458	8.156296232
459	8.150439854
460	8.14367637
461	8.137652219
462	8.131567109
463	8.127204967
464	8.124055459
465	8.117168767
466	8.11309391
467	8.108918329
468	8.10571453
469	8.101334775
470	8.096796992
471	8.091588356
472	8.084487178
473	8.078334804
474	8.072746285
475	8.067656739
476	8.063010065
477	8.056397552
478	8.051354484
479	8.047639457
480	8.039231799
481	8.035127371
482	8.030642579
483	8.026032356
484	8.021788278
485	8.019456147
486	8.015776285
487	8.009859316
488	8.007057746
489	8.003157231
490	8.000833943
491	7.997389054
492	7.993840683
493	7.988276491
494	7.978614481
495	7.97314518
496	7.969980065
497	7.964853272
498	7.96062364
499	7.956881664
500	7.950864325
501	7.941520152
502	7.93699214
503	7.932803935
504	7.925996948
505	7.920050499
506	7.910463115
507	7.903592828
508	7.898229256
509	7.895477772
510	7.892814734
511	7.88945574
512	7.885681629
513	7.881642915
514	7.877498036
515	7.871462431
516	7.867749882
517	7.862618388
518	7.856622439
519	7.851056697
520	7.848138828
521	7.841607811
522	7.836866655
523	7.830447015
524	7.826217013
525	7.823005113
526	7.820227997
527	7.814952921
528	7.812218893
529	7.808823756
530	7.80715926
531	7.804666964
532	7.799366356
533	7.79474961
534	7.790697075
535	7.784018175
536	7.777933053
537	7.775502134
538	7.770391848
539	7.76483874
540	7.759894988
541	7.756157568
542	7.750008524
543	7.74501568
544	7.742745743
545	7.736794658
546	7.730197502
547	7.72605512
548	7.720826244
549	7.715972945
550	7.712828151
551	7.708969575
552	7.702964479
553	7.699282594
554	7.694933355
555	7.691374923
556	7.687834424
557	7.685205558
558	7.681734234
559	7.680310612
560	7.676309237
561	7.671711345
562	7.667465551
563	7.663341282
564	7.66014015
565	7.656476891
566	7.648686165
567	7.643518799
568	7.6384787
569	7.634325014
570	7.630959507
571	7.626754874
572	7.622984387
573	7.617188836
574	7.610963366
575	7.605135789
576	7.600460429
577	7.595845181
578	7.592531287
579	7.588220888
580	7.584581587
581	7.581970905
582	7.57560652
583	7.570859169
584	7.567640031
585	7.565192611
586	7.560243835
587	7.557173421
588	7.552278683
589	7.548129228
590	7.541594821
591	7.536139199
592	7.533564472
593	7.529221616
594	7.52700935
595	7.524029755
596	7.519521135
597	7.51718659
598	7.514045168
599	7.510356707
600	7.505719651
601	7.500978958
602	7.49848811
603	7.49276169
604	7.490280305
605	7.488355301
606	7.482676094
607	7.478630618
608	7.475715651
609	7.471741283
610	7.46553683
611	7.463773601
612	7.457127232
613	7.453014469
614	7.449536997
615	7.446191529
616	7.441638417
617	7.43889001
618	7.434278808
619	7.429819083
620	7.425477648
621	7.42048411
622	7.416808446
623	7.413761685
624	7.411386836
625	7.406687881
626	7.400561317
627	7.398494885
628	7.394083195
629	7.39030994
630	7.387419822
631	7.382054773
632	7.378484697
633	7.376367297
634	7.372229104
635	7.369407522
636	7.363922239
637	7.360907678
638	7.354931455
639	7.352293339
640	7.347668116
641	7.342785608
642	7.33931494
643	7.335586185
644	7.332252081
645	7.328009005
646	7.323613464
647	7.315376216
648	7.310978462
649	7.308604124
650	7.304521622
651	7.301212058
652	7.298023657
653	7.290420376
654	7.284385903
655	7.281356129
656	7.277935991
657	7.272742729
658	7.271511853
659	7.268215611
660	7.264093478
661	7.259198402
662	7.255660685
663	7.25334414
664	7.250075325
665	7.246278825
666	7.242337162
667	7.238569392
668	7.236360137
669	7.232207027
670	7.226321383
671	7.222140566
672	7.219862084
673	7.216595603
674	7.209489957
675	7.203474036
676	7.200655814
677	7.197314385
678	7.192341139
679	7.187919732
680	7.181342013
681	7.176589501
682	7.172779695
683	7.168656697
684	7.165193265
685	7.163222999
686	7.160494121
687	7.155644878
688	7.154219263
689	7.148472176
690	7.144605316
691	7.138740021
692	7.133316649
693	7.129550527
694	7.126954693
695	7.123447832
696	7.119773135
697	7.116823259
698	7.110247035
699	7.10600588
700	7.100662982
701	7.099111648
702	7.096295109
703	7.093214646
704	7.091263248
705	7.086773549
706	7.083243602
707	7.079857764
708	7.076947145
709	7.073831164
710	7.068982757
711	7.065656153
712	7.062562862
713	7.058727143
714	7.054941418
715	7.049124621
716	7.046064364
717	7.042925027
718	7.040653875
719	7.038757782
720	7.037050352
721	7.031972332
722	7.028666657
723	7.025964843
724	7.019812677
725	7.015563093
726	7.01321924
727	7.010095853
728	7.005805682
729	7.004238594
730	7.002798086
731	6.99704324
732	6.993270144
733	6.988228911
734	6.986490882
735	6.984945879
736	6.981601325
737	6.980619075
738	6.977511321
739	6.97489242
740	6.971325807
741	6.967741937
742	6.965497179
743	6.96164781
744	6.959080437
745	6.95388747
746	6.951779047
747	6.947825401
748	6.946282666
749	6.942127729
750	6.937661007
751	6.934870537
752	6.930099809
753	6.928027345
754	6.92373692
755	6.920012795
756	6.916123587
757	6.914323486
758	6.911498803
759	6.907988655
760	6.905578474
761	6.903968194
762	6.899417564
763	6.895440371
764	6.893330036
765	6.890770944
766	6.889173322
767	6.886893136
768	6.884170732
769	6.87969432
770	6.875486034
771	6.873907012
772	6.871672656
773	6.867753046
774	6.864162652
775	6.860234896
776	6.858209317
777	6.854999727
778	6.85326729
779	6.850203185
780	6.844549361
781	6.841826283
782	6.838428357
783	6.837338764
784	6.834628392
785	6.831455384
786	6.82800901
787	6.826131113
788	6.823859978
789	6.820604707
790	6.8172716
791	6.816351983
792	6.813475031
793	6.810337208
794	6.805314523
795	6.802136546
796	6.797622616
797	6.79253853
798	6.789747103
799	6.786061623
800	6.783488031
801	6.780652121
802	6.779356274
803	6.775099679
804	6.770092257
805	6.76627542
806	6.762676003
807	6.75951676
808	6.755817181
809	6.752762812
810	6.750396211
811	6.749271422
812	6.746878903
813	6.743392151
814	6.740622238
815	6.735257029
816	6.732115201
817	6.72651134
818	6.724102977
819	6.721671267
820	6.720233234
821	6.717590234
822	6.71261983
823	6.710005912
824	6.707882625
825	6.706307953
826	6.704852322
827	6.702108473
828	6.699434403
829	6.694979534
830	6.691875927
831	6.688517742
832	6.686689524
833	6.684116872
834	6.681857232
835	6.67846794
836	6.676698926
837	6.673952389
838	6.671498599
839	6.66694353
840	6.664283738
841	6.661974238
842	6.658564198
843	6.655338534
844	6.65280689
845	6.64997258
846	6.647531152
847	6.645242167
848	6.643974857
849	6.640621648
850	6.637872155
851	6.635040515
852	6.63211976
853	6.629422124
854	6.628069661
855	6.625367125
856	6.620597141
857	6.617999352
858	6.615998235
859	6.614644308
860	6.612495621
861	6.60735891
862	6.601686836
863	6.599959308
864	6.596205364
865	6.594529857
866	6.592234038
867	6.589029729
868	6.586004204
869	6.580752921
870	6.579250872
871	6.577266213
872	6.574770066
873	6.570970676
874	6.568124679
875	6.566509092
876	6.564466477
877	6.562453741
878	6.558918191
879	6.554707508
880	6.551425371
881	6.548737674
882	6.54427785
883	6.542921955
884	6.539692938
885	6.535673093
886	6.532737547
887	6.527328897
888	6.524212639
889	6.52061803
890	6.518789996
891	6.51708806
892	6.513981417
893	6.512859998
894	6.511421868
895	6.508682665
896	6.507556904
897	6.504023988
898	6.500334245
899	6.496952299
900	6.493928034
901	6.491524617
902	6.488383254
903	6.486217988
904	6.48510902
905	6.483957057
906	6.479596844
907	6.476900046
908	6.472283963
909	6.470755187
910	6.469588609
911	6.466515529
912	6.463649478
913	6.460850782
914	6.457635515
915	6.452953164
916	6.450260007
917	6.448547997
918	6.447745665
919	6.444480681
920	6.440838829
921	6.439139057
922	6.434613365
923	6.433367997
924	6.43077063
925	6.42906722
926	6.425483889
927	6.422698465
928	6.42107599
929	6.417418659
930	6.414993706
931	6.411385966
932	6.406869768
933	6.404030874
934	6.401841411
935	6.40013438
936	6.398946075
937	6.395035644
938	6.392872618
939	6.391143138
940	6.388930703
941	6.387511304
942	6.385139156
943	6.3834781
944	6.379880396
945	6.376009893
946	6.373184683
947	6.3707293
948	6.3670953
949	6.364253597
950	6.361927075
951	6.358958093
952	6.356303875
953	6.355228802
954	6.352276217
955	6.350461206
956	6.34705272
957	6.344621772
958	6.343567735
959	6.34009256
960	6.336446637
961	6.334627905
962	6.332495808
963	6.328499576
964	6.326124334
965	6.321153741
966	6.319479444
967	6.315584472
968	6.313526654
969	6.309559822
970	6.307648089
971	6.306520081
972	6.302945252
973	6.300426423
974	6.29668601
975	6.294680398
976	6.290688282
977	6.289943537
978	6.287363294
979	6.284622987
980	6.282734126
981	6.280411207
982	6.277759851
983	6.275049566
984	6.272826531
985	6.271160473
986	6.268244736
987	6.263466927
988	6.260887474
989	6.255618267
990	6.254537797
991	6.25202295
992	6.24919139
993	6.248064332
994	6.246355054
995	6.243972205
996	6.243141686
997	6.240638242
998	6.238144575
999	6.234846442
